IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.242.36.78,80,80,false,HKG,Asia Pacific,Hong Kong,76,1.54
47.76.227.128,2083,2083,true,HKG,Asia Pacific,Hong Kong,76,1.48
47.238.6.58,2083,2083,true,HKG,Asia Pacific,Hong Kong,111,1.44
47.76.32.108,2082,2082,false,HKG,Asia Pacific,Hong Kong,76,1.23
47.76.225.255,2053,2053,true,HKG,Asia Pacific,Hong Kong,48,1.20
47.76.37.57,2087,2087,true,HKG,Asia Pacific,Hong Kong,65,1.10
47.76.227.128,8443,8443,true,HKG,Asia Pacific,Hong Kong,44,1.05
47.238.0.114,2083,2083,true,HKG,Asia Pacific,Hong Kong,83,0.92
103.44.255.81,443,443,true,HKG,Asia Pacific,Hong Kong,42,0.82
47.76.214.139,2087,2087,true,HKG,Asia Pacific,Hong Kong,44,0.77
47.242.17.250,8080,8080,false,HKG,Asia Pacific,Hong Kong,77,0.74
47.239.10.224,443,443,true,HKG,Asia Pacific,Hong Kong,42,0.70
47.76.225.255,2096,2096,true,HKG,Asia Pacific,Hong Kong,48,0.70
47.76.204.76,2096,2096,true,HKG,Asia Pacific,Hong Kong,73,0.67
47.76.225.255,8443,8443,true,HKG,Asia Pacific,Hong Kong,83,0.64
47.76.192.24,2052,2052,false,HKG,Asia Pacific,Hong Kong,108,0.63
47.76.146.1,8080,8080,false,HKG,Asia Pacific,Hong Kong,46,0.62
47.76.225.255,80,80,false,HKG,Asia Pacific,Hong Kong,47,0.60
47.76.98.98,2083,2083,true,HKG,Asia Pacific,Hong Kong,47,0.35
47.238.164.202,443,443,true,HKG,Asia Pacific,Hong Kong,77,0.34
38.181.25.31,52001,443,true,HKG,Asia Pacific,Hong Kong,43,0.32
47.238.40.58,2087,2087,true,HKG,Asia Pacific,Hong Kong,44,0.20
103.48.169.9,38835,443,true,HKG,Asia Pacific,Hong Kong,64,0.18
47.238.0.114,2053,2053,true,HKG,Asia Pacific,Hong Kong,48,0.14
