IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.242.155.183,2096,2096,true,HKG,Asia Pacific,Hong Kong,106,14.20
8.218.142.253,2052,2052,false,HKG,Asia Pacific,Hong Kong,46,14.16
8.218.207.169,8880,8880,false,HKG,Asia Pacific,Hong Kong,78,14.16
8.210.207.214,8880,8880,false,HKG,Asia Pacific,Hong Kong,114,14.15
47.76.192.24,8443,8443,true,HKG,Asia Pacific,Hong Kong,101,14.14
47.243.86.79,2053,2053,true,HKG,Asia Pacific,Hong Kong,115,14.13
8.217.149.28,8880,8880,false,HKG,Asia Pacific,Hong Kong,45,14.06
8.218.155.238,8080,8080,false,HKG,Asia Pacific,Hong Kong,45,13.79
47.242.7.162,8443,8443,true,HKG,Asia Pacific,Hong Kong,44,13.74
47.243.60.150,2083,2083,true,HKG,Asia Pacific,Hong Kong,76,13.64
47.243.27.217,8080,8080,false,HKG,Asia Pacific,Hong Kong,80,13.51
8.210.175.109,8443,8443,true,HKG,Asia Pacific,Hong Kong,112,13.50
8.210.63.130,2087,2087,true,HKG,Asia Pacific,Hong Kong,103,13.43
8.218.142.253,2087,2087,true,HKG,Asia Pacific,Hong Kong,75,13.37
47.242.155.183,2053,2053,true,HKG,Asia Pacific,Hong Kong,46,13.35
8.210.21.65,8443,8443,true,HKG,Asia Pacific,Hong Kong,108,13.33
47.243.5.154,2053,2053,true,HKG,Asia Pacific,Hong Kong,90,13.31
8.217.159.210,2083,2083,true,HKG,Asia Pacific,Hong Kong,113,13.28
8.217.164.10,2086,2086,false,HKG,Asia Pacific,Hong Kong,63,13.26
8.210.66.190,8080,8080,false,HKG,Asia Pacific,Hong Kong,119,13.21
8.210.34.188,2053,2053,true,HKG,Asia Pacific,Hong Kong,74,13.21
8.218.53.110,2087,2087,true,HKG,Asia Pacific,Hong Kong,42,13.12
8.210.42.171,2083,2083,true,HKG,Asia Pacific,Hong Kong,74,13.01
8.218.143.10,8880,8880,false,HKG,Asia Pacific,Hong Kong,42,13.00
47.76.227.128,8443,8443,true,HKG,Asia Pacific,Hong Kong,121,12.92
47.238.40.58,2096,2096,true,HKG,Asia Pacific,Hong Kong,74,12.91
8.218.8.142,2095,2095,false,HKG,Asia Pacific,Hong Kong,89,12.88
47.242.174.27,2052,2052,false,HKG,Asia Pacific,Hong Kong,101,12.78
