IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.93.5,2087,2087,true,SIN,Asia Pacific,Singapore,88,6.28
8.219.106.156,2052,2052,false,SIN,Asia Pacific,Singapore,82,6.22
8.219.191.110,2082,2082,false,SIN,Asia Pacific,Singapore,143,6.19
8.219.49.65,2082,2082,false,SIN,Asia Pacific,Singapore,62,6.19
47.236.205.188,2052,2052,false,SIN,Asia Pacific,Singapore,137,6.14
8.222.164.209,8443,8443,true,SIN,Asia Pacific,Singapore,71,6.13
8.219.174.142,2086,2086,false,SIN,Asia Pacific,Singapore,133,6.13
8.219.11.158,2082,2082,false,SIN,Asia Pacific,Singapore,94,6.10
8.219.104.37,80,80,false,SIN,Asia Pacific,Singapore,99,6.10
8.219.87.30,80,80,false,SIN,Asia Pacific,Singapore,77,5.94
47.245.84.124,8080,8080,false,SIN,Asia Pacific,Singapore,267,5.91
47.237.121.38,2095,2095,false,SIN,Asia Pacific,Singapore,66,5.90
47.236.10.182,2053,2053,true,SIN,Asia Pacific,Singapore,112,5.90
8.219.153.237,8080,8080,false,SIN,Asia Pacific,Singapore,133,5.87
8.219.104.37,2086,2086,false,SIN,Asia Pacific,Singapore,87,5.87
47.236.169.141,8880,8880,false,SIN,Asia Pacific,Singapore,130,5.84
47.237.95.146,2082,2082,false,SIN,Asia Pacific,Singapore,103,5.74
8.219.198.139,2086,2086,false,SIN,Asia Pacific,Singapore,125,5.72
8.219.191.110,8880,8880,false,SIN,Asia Pacific,Singapore,128,5.72
47.236.169.15,80,80,false,SIN,Asia Pacific,Singapore,134,5.64
8.219.1.92,2082,2082,false,SIN,Asia Pacific,Singapore,97,5.59
8.219.110.81,80,80,false,SIN,Asia Pacific,Singapore,79,5.55
47.236.117.48,8080,8080,false,SIN,Asia Pacific,Singapore,132,5.54
8.219.6.150,8443,8443,true,SIN,Asia Pacific,Singapore,90,5.53
8.219.49.65,2083,2083,true,SIN,Asia Pacific,Singapore,81,5.51
47.236.164.215,443,443,true,SIN,Asia Pacific,Singapore,130,5.50
8.219.1.92,80,80,false,SIN,Asia Pacific,Singapore,94,5.50
47.237.100.206,2096,2096,true,SIN,Asia Pacific,Singapore,81,5.45
8.222.162.45,2086,2086,false,SIN,Asia Pacific,Singapore,61,5.42
8.219.93.5,8880,8880,false,SIN,Asia Pacific,Singapore,67,5.39
8.222.134.170,2086,2086,false,SIN,Asia Pacific,Singapore,90,5.35
47.237.92.26,8080,8080,false,SIN,Asia Pacific,Singapore,85,5.34
47.236.80.110,8080,8080,false,SIN,Asia Pacific,Singapore,133,5.29
47.236.180.24,2095,2095,false,SIN,Asia Pacific,Singapore,115,5.29
8.219.42.72,2052,2052,false,SIN,Asia Pacific,Singapore,67,5.26
47.237.94.140,8080,8080,false,SIN,Asia Pacific,Singapore,99,5.22
47.236.172.71,2052,2052,false,SIN,Asia Pacific,Singapore,142,5.19
